timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
Performance for 1000 user ,,,,,,,,,,,,,,,,
1.72E+12,10820,https://fbsadvisor.com/,200,OK,Thread Group 1-365,text,TRUE,,27220,495,1000,1000,https://fbsadvisor.com/,10737,0,9377
1.72E+12,10834,https://fbsadvisor.com/,200,OK,Thread Group 1-337,text,TRUE,,27220,495,1000,1000,https://fbsadvisor.com/,10748,0,9386
1.72E+12,10820,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-365,,TRUE,,27220,495,1000,1000,null,10737,86,9377
1.72E+12,10540,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-781,,TRUE,,27220,495,1000,1000,null,10457,11,9094
1.72E+12,10834,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-337,,TRUE,,27220,495,1000,1000,null,10748,145,9386
1.72E+12,11676,https://fbsadvisor.com/,200,OK,Thread Group 1-79,text,TRUE,,27220,495,997,997,https://fbsadvisor.com/,10823,0,9328
1.72E+12,11676,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-79,,TRUE,,27220,495,997,997,null,10823,499,9328
1.72E+12,28388,https://fbsadvisor.com/,200,OK,Thread Group 1-170,text,TRUE,,27220,495,996,996,https://fbsadvisor.com/,28251,0,9312
1.72E+12,28388,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-170,,TRUE,,27220,495,996,996,null,28251,351,9312
1.72E+12,33071,https://fbsadvisor.com/,200,OK,Thread Group 1-84,text,TRUE,,27220,495,995,995,https://fbsadvisor.com/,32940,0,9386
1.72E+12,33071,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-84,,TRUE,,27220,495,995,995,null,32940,423,9386
1.72E+12,33293,https://fbsadvisor.com/,200,OK,Thread Group 1-188,text,TRUE,,27220,495,994,994,https://fbsadvisor.com/,33153,0,9388
1.72E+12,33293,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-188,,TRUE,,27220,495,994,994,null,33153,281,9388
1.72E+12,33315,https://fbsadvisor.com/,200,OK,Thread Group 1-291,text,TRUE,,27220,495,993,993,https://fbsadvisor.com/,33176,0,9384
1.72E+12,33315,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-291,,TRUE,,27220,495,993,993,null,33176,187,9384
1.72E+12,33325,https://fbsadvisor.com/,200,OK,Thread Group 1-100,text,TRUE,,27220,495,992,992,https://fbsadvisor.com/,33183,0,9382
1.72E+12,33325,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-100,,TRUE,,27220,495,992,992,null,33183,413,9382
1.72E+12,33300,https://fbsadvisor.com/,200,OK,Thread Group 1-565,text,TRUE,,27220,495,991,991,https://fbsadvisor.com/,33115,0,9342
1.72E+12,33300,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-565,,TRUE,,27220,495,991,991,null,33115,8,9342
1.72E+12,33405,https://fbsadvisor.com/,200,OK,Thread Group 1-369,text,TRUE,,27220,495,990,990,https://fbsadvisor.com/,33275,0,9362
1.72E+12,33405,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-369,,TRUE,,27220,495,990,990,null,33275,78,9362
1.72E+12,33159,https://fbsadvisor.com/,200,OK,Thread Group 1-761,text,TRUE,,27220,495,989,989,https://fbsadvisor.com/,33026,0,9093
1.72E+12,33159,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-761,,TRUE,,27220,495,989,989,null,33026,1,9093
1.72E+12,33882,https://fbsadvisor.com/,200,OK,Thread Group 1-130,text,TRUE,,27220,495,988,988,https://fbsadvisor.com/,33687,0,9385
1.72E+12,33882,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-130,,TRUE,,27220,495,988,988,null,33687,325,9385
1.72E+12,34152,https://fbsadvisor.com/,200,OK,Thread Group 1-303,text,TRUE,,27220,495,987,987,https://fbsadvisor.com/,34022,0,9405
1.72E+12,34152,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-303,,TRUE,,27220,495,987,987,null,34022,174,9405
1.72E+12,34367,https://fbsadvisor.com/,200,OK,Thread Group 1-120,text,TRUE,,27220,495,986,986,https://fbsadvisor.com/,33981,0,9357
1.72E+12,34367,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-120,,TRUE,,27220,495,986,986,null,33981,405,9357
1.72E+12,34549,https://fbsadvisor.com/,200,OK,Thread Group 1-9,text,TRUE,,27220,495,985,985,https://fbsadvisor.com/,34151,0,9366
1.72E+12,34549,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,TRUE,,27220,495,985,985,null,34151,508,9366
1.72E+12,34544,https://fbsadvisor.com/,200,OK,Thread Group 1-838,text,TRUE,,27220,495,984,984,https://fbsadvisor.com/,34412,0,9057
1.72E+12,34544,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-838,,TRUE,,27220,495,984,984,null,34412,12,9057
1.72E+12,34895,https://fbsadvisor.com/,200,OK,Thread Group 1-56,text,TRUE,,27220,495,983,983,https://fbsadvisor.com/,34752,0,9415
1.72E+12,34895,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-56,,TRUE,,27220,495,983,983,null,34752,438,9415
1.72E+12,35273,https://fbsadvisor.com/,200,OK,Thread Group 1-62,text,TRUE,,27220,495,982,982,https://fbsadvisor.com/,35103,0,9374
1.72E+12,35273,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-62,,TRUE,,27220,495,982,982,null,35103,481,9374
1.72E+12,35166,https://fbsadvisor.com/,200,OK,Thread Group 1-665,text,TRUE,,27220,495,981,981,https://fbsadvisor.com/,35035,0,9242
1.72E+12,35166,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-665,,TRUE,,27220,495,981,981,null,35035,1,9242
1.72E+12,35158,https://fbsadvisor.com/,200,OK,Thread Group 1-693,text,TRUE,,27220,495,980,980,https://fbsadvisor.com/,35023,0,9142
1.72E+12,35349,https://fbsadvisor.com/,200,OK,Thread Group 1-564,text,TRUE,,27220,495,980,980,https://fbsadvisor.com/,35212,0,9327
1.72E+12,35158,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-693,,TRUE,,27220,495,980,980,null,35023,2,9142
1.72E+12,35349,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-564,,TRUE,,27220,495,980,980,null,35212,2,9327
1.72E+12,35448,https://fbsadvisor.com/,200,OK,Thread Group 1-232,text,TRUE,,27220,495,978,978,https://fbsadvisor.com/,35315,0,9419
1.72E+12,35448,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-232,,TRUE,,27220,495,978,978,null,35315,219,9419
