timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
Performance for 100 user ,,,,,,,,,,,,,,,,
1.72E+12,3849,https://fbsadvisor.com/,200,OK,Thread Group 1-40,text,TRUE,,27220,495,100,100,https://fbsadvisor.com/,3720,0,2480
1.72E+12,3849,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-40,,TRUE,,27220,495,100,100,null,3720,21,2480
1.72E+12,3450,https://fbsadvisor.com/,200,OK,Thread Group 1-91,text,TRUE,,27220,495,99,99,https://fbsadvisor.com/,3319,0,1974
1.72E+12,3450,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-91,,TRUE,,27220,495,99,99,null,3319,4,1974
1.72E+12,4028,https://fbsadvisor.com/,200,OK,Thread Group 1-29,text,TRUE,,27220,495,98,98,https://fbsadvisor.com/,3887,0,2535
1.72E+12,4028,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-29,,TRUE,,27220,495,98,98,null,3887,59,2535
1.72E+12,4602,https://fbsadvisor.com/,200,OK,Thread Group 1-96,text,TRUE,,27220,495,97,97,https://fbsadvisor.com/,4469,0,1919
1.72E+12,4602,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-96,,TRUE,,27220,495,97,97,null,4469,3,1919
1.72E+12,5226,https://fbsadvisor.com/,200,OK,Thread Group 1-34,text,TRUE,,27220,495,96,96,https://fbsadvisor.com/,5092,0,2536
1.72E+12,5226,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-34,,TRUE,,27220,495,96,96,null,5092,8,2536
1.72E+12,4892,https://fbsadvisor.com/,200,OK,Thread Group 1-62,text,TRUE,,27220,495,96,96,https://fbsadvisor.com/,4757,0,2201
1.72E+12,4892,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-62,,TRUE,,27220,495,96,96,null,4757,61,2201
1.72E+12,4757,https://fbsadvisor.com/,200,OK,Thread Group 1-82,text,TRUE,,27220,495,94,94,https://fbsadvisor.com/,4622,0,2063
1.72E+12,5198,https://fbsadvisor.com/,200,OK,Thread Group 1-38,text,TRUE,,27220,495,94,94,https://fbsadvisor.com/,5066,0,2500
1.72E+12,4757,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-82,,TRUE,,27220,495,94,94,null,4622,4,2063
1.72E+12,5198,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-38,,TRUE,,27220,495,94,94,null,5066,4,2500
1.72E+12,5240,https://fbsadvisor.com/,200,OK,Thread Group 1-30,text,TRUE,,27220,495,92,92,https://fbsadvisor.com/,5105,0,2536
1.72E+12,5240,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-30,,TRUE,,27220,495,92,92,null,5105,50,2536
1.72E+12,5445,https://fbsadvisor.com/,200,OK,Thread Group 1-22,text,TRUE,,27220,495,91,91,https://fbsadvisor.com/,5315,0,2538
1.72E+12,5445,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-22,,TRUE,,27220,495,91,91,null,5315,127,2538
1.72E+12,5160,https://fbsadvisor.com/,200,OK,Thread Group 1-63,text,TRUE,,27220,495,90,90,https://fbsadvisor.com/,5023,0,2213
1.72E+12,5160,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-63,,TRUE,,27220,495,90,90,null,5023,3,2213
1.72E+12,5039,https://fbsadvisor.com/,200,OK,Thread Group 1-95,text,TRUE,,27220,495,89,89,https://fbsadvisor.com/,4908,0,1954
1.72E+12,5039,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-95,,TRUE,,27220,495,89,89,null,4908,2,1954
1.72E+12,5575,https://fbsadvisor.com/,200,OK,Thread Group 1-47,text,TRUE,,27220,495,88,88,https://fbsadvisor.com/,5443,0,2424
1.72E+12,5575,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-47,,TRUE,,27220,495,88,88,null,5443,2,2424
1.72E+12,5683,https://fbsadvisor.com/,200,OK,Thread Group 1-44,text,TRUE,,27220,495,87,87,https://fbsadvisor.com/,5535,0,2534
1.72E+12,5683,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-44,,TRUE,,27220,495,87,87,null,5535,2,2534
1.72E+12,5782,https://fbsadvisor.com/,200,OK,Thread Group 1-11,text,TRUE,,27220,495,86,86,https://fbsadvisor.com/,5636,0,2672
1.72E+12,5782,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-11,,TRUE,,27220,495,86,86,null,5636,238,2672
1.72E+12,5407,https://fbsadvisor.com/,200,OK,Thread Group 1-81,text,TRUE,,27220,495,85,85,https://fbsadvisor.com/,5274,0,2076
1.72E+12,5871,https://fbsadvisor.com/,200,OK,Thread Group 1-5,text,TRUE,,27220,495,85,85,https://fbsadvisor.com/,5738,0,2553
1.72E+12,5407,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-81,,TRUE,,27220,495,85,85,null,5274,2,2076
1.72E+12,5871,Make PLayoption,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,TRUE,,27220,495,85,85,null,5738,292,2553
1.72E+12,5701,https://fbsadvisor.com/,200,OK,Thread Group 1-52,text,TRUE,,27220,495,83,83,https://fbsadvisor.com/,5570,0,2373
